disease_name,cough,fever,headache,fatigue,runny_nose,sore_throat,nausea,vomiting,body_pain,diarrhea
Common Cold,1,0,0,1,1,1,0,0,0,0
Common Cold,1,0,0,1,1,1,0,0,0,0
Common Cold,0,0,1,1,1,1,0,0,0,0
Common Cold,1,0,1,0,1,1,0,0,0,0
Flu (Influenza),1,1,1,1,0,1,0,0,1,0
Flu (Influenza),1,1,1,1,0,0,0,0,1,0
Flu (Influenza),1,1,1,1,0,0,0,0,1,0
Flu (Influenza),1,1,0,1,0,1,0,0,1,0
Food Poisoning,0,1,1,1,0,0,1,1,1,1
Food Poisoning,0,1,0,1,0,0,1,1,1,1
Food Poisoning,0,1,1,1,0,0,1,1,1,1
Food Poisoning,0,1,0,1,0,0,1,1,1,1
Malaria,1,1,0,1,0,0,0,0,1,0
Malaria,1,1,1,1,0,0,0,0,1,0
Malaria,1,1,0,1,0,0,0,0,1,0
Malaria,1,1,1,1,0,0,0,0,1,0
Migraine,0,0,1,1,0,0,0,0,1,0
Migraine,0,0,1,1,0,0,0,0,1,0
Migraine,0,0,1,0,0,0,0,0,1,0
Migraine,0,0,1,1,0,0,0,0,1,0
Migraine,0,0,1,1,0,0,0,0,1,0
Migraine,0,0,1,1,0,0,0,0,1,0
Migraine,0,0,1,0,0,0,0,0,1,0
